Edge Label,Cosine Similarity
Library.return_book → Member,0.14041848141721724
Library.borrow_book → Member,0.13030329529789472
Library.add_member → Member,0.12877195615217182
Library → Library.borrow_book,0.1240594578455277
Library.remove_member → Member,0.11192377458937006
Library.add_book → Book,0.09639123858678264
main → Library,0.09271822059320296
main → Book,0.08516499913369799
Library.borrow_book → Book,0.08145687244868953
main → Member,0.07974220699334517
Library.remove_book → Book,0.07891162993571806
Member.__init__ → Member._random_id,0.07870114651635421
Library → Library.add_member,0.07670617207914757
Library → Library.remove_member,0.07075526347652554
Book.__del__ → Book,0.056870752066252105
Library → Library.add_book,0.05232128231093565
Book.__init__ → Book,0.044483869103078715
Library → Library.__init__,0.035868446096292424
Library → Library.return_book,0.03001049561259346
Library.return_book → Book,0.025877826473998205
Member → Member.__str__,0.0
Member → Member.__init__,0.0
Library → Library.remove_book,0.0
Book → Book.__str__,0.0
Book → Book.__del__,0.0
Book → Book.__init__,0.0
Member → Member._random_id,0.0
