session_id,event_type,location,occurred_at_jst
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:43:01
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.add_member,2025/12/23 11:42:59
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.remove_book,2025/12/23 11:42:09
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:41:49
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:41:45
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:41:30
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.return_book,2025/12/23 11:40:41
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,check,Library.borrow_book-line-19,2025/12/23 11:39:55
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,check,Library.borrow_book-line-18,2025/12/23 11:39:54
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,check,Library.borrow_book-line-16,2025/12/23 11:39:53
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,check,Library.borrow_book-line-15,2025/12/23 11:39:51
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,check,Library.borrow_book-line-13,2025/12/23 11:39:49
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:34:03
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.__init__,2025/12/23 11:33:46
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:32:59
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:32:57
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:32:43
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:31:43
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.add_member,2025/12/23 11:31:24
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:31:21
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:31:10
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.__init__,2025/12/23 11:31:03
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:30:38
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.return_book,2025/12/23 11:30:32
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:30:15
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:30:13
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member._random_id,2025/12/23 11:30:11
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member.__init__,2025/12/23 11:29:52
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member._random_id,2025/12/23 11:29:50
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member.__init__,2025/12/23 11:29:40
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,member.py,2025/12/23 11:29:35
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.add_member,2025/12/23 11:29:31
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:29:04
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:29:02
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,member.py,2025/12/23 11:28:57
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:27:31
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:27:29
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:27:25
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:27:12
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.return_book,2025/12/23 11:27:08
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:27:02
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:26:59
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:26:16
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member.__str__,2025/12/23 11:26:14
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member._random_id,2025/12/23 11:26:05
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member.__init__,2025/12/23 11:25:55
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,member.py,2025/12/23 11:25:52
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:25:05
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:25:03
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member.__str__,2025/12/23 11:24:56
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member._random_id,2025/12/23 11:24:52
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Member.__init__,2025/12/23 11:24:43
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,member.py,2025/12/23 11:24:40
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Book.__str__,2025/12/23 11:24:37
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Book.__del__,2025/12/23 11:24:34
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Book.__init__,2025/12/23 11:24:30
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,book.py,2025/12/23 11:24:26
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.return_book,2025/12/23 11:24:07
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:22:47
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.add_member,2025/12/23 11:22:23
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:22:19
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:21:59
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.__init__,2025/12/23 11:21:52
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:18:27
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.__init__,2025/12/23 11:18:18
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:18:16
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:18:12
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.borrow_book,2025/12/23 11:17:59
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.remove_book,2025/12/23 11:17:39
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.add_book,2025/12/23 11:17:25
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:17:23
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:17:06
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.add_book,2025/12/23 11:17:01
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.remove_book,2025/12/23 11:16:56
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.add_book,2025/12/23 11:16:36
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,method,Library.__init__,2025/12/23 11:16:16
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:16:11
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,main.py,2025/12/23 11:16:04
8cec8455-6613-4479-87c5-7b2cb3ab6fe6,file,library.py,2025/12/23 11:15:59
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.remove_book,2025/12/22 10:42:48
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,library.py,2025/12/22 10:42:45
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,main.py,2025/12/22 10:42:36
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__del__,2025/12/22 10:42:35
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__str__,2025/12/22 10:42:34
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__del__,2025/12/22 10:42:26
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,check,Book.__init__-line-6,2025/12/22 10:42:25
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__init__,2025/12/22 10:42:20
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,book.py,2025/12/22 10:42:18
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,main.py,2025/12/22 10:42:06
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.return_book,2025/12/22 10:41:56
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.borrow_book,2025/12/22 10:41:48
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.remove_member,2025/12/22 10:41:46
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.add_member,2025/12/22 10:41:44
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.remove_book,2025/12/22 10:41:42
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.add_book,2025/12/22 10:41:41
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.__init__,2025/12/22 10:41:39
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,library.py,2025/12/22 10:41:38
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Member._random_id,2025/12/22 10:41:34
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Member.__str__,2025/12/22 10:41:33
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Member._random_id,2025/12/22 10:41:27
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Member.__init__,2025/12/22 10:41:24
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,member.py,2025/12/22 10:41:22
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__str__,2025/12/22 10:41:18
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__del__,2025/12/22 10:41:16
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__init__,2025/12/22 10:41:12
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__del__,2025/12/22 10:41:02
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,check,Book.__init__-line-10,2025/12/22 10:40:59
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,check,Book.__init__-line-9,2025/12/22 10:40:58
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,check,Book.__init__-line-2,2025/12/22 10:40:00
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,check,Book.__init__-line-1,2025/12/22 10:40:00
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__init__,2025/12/22 10:39:31
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,book.py,2025/12/22 10:39:27
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,main.py,2025/12/22 10:38:55
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.add_book,2025/12/22 10:38:41
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.__init__,2025/12/22 10:38:18
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Library.add_book,2025/12/22 10:38:14
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,library.py,2025/12/22 10:38:13
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,main.py,2025/12/22 10:38:05
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__init__,2025/12/22 10:37:49
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__del__,2025/12/22 10:37:37
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__str__,2025/12/22 10:37:32
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__del__,2025/12/22 10:37:25
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__init__,2025/12/22 10:37:04
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__del__,2025/12/22 10:37:00
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,method,Book.__init__,2025/12/22 10:36:54
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,book.py,2025/12/22 10:36:52
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,main.py,2025/12/22 10:36:40
1ddcd4db-5829-4809-8ac6-a8e16b0b6693,file,library.py,2025/12/22 10:36:36
8179d58a-dbc6-4b82-adfd-f08f26da7958,check,Member.__init__-line-3,2025/12/19 13:23:34
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member.__init__,2025/12/19 13:23:30
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:23:29
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Book.__init__,2025/12/19 13:23:27
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,book.py,2025/12/19 13:23:26
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:23:24
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,book.py,2025/12/19 13:23:22
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:23:18
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:23:17
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:23:16
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:23:01
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:22:32
