dataset,model,task,condition,jsd
full,topology,duplicate,all,.266
full,topology,duplicate,true,.286
full,topology,duplicate,false,.234
full,topology,exceed,all,.352
full,topology,exceed,true,.446
full,topology,exceed,false,.312
full,cosine,duplicate,all,.197
full,cosine,duplicate,true,.210
full,cosine,duplicate,false,.181
full,cosine,exceed,all,.238
full,cosine,exceed,true,.363
full,cosine,exceed,false,.185
full,chunk,duplicate,all,.096
full,chunk,duplicate,true,.112
full,chunk,duplicate,false,.076
full,chunk,exceed,all,.217
full,chunk,exceed,true,.280
full,chunk,exceed,false,.201
full,cosine_chunk_avg,duplicate,all,.141
full,cosine_chunk_avg,duplicate,true,.154
full,cosine_chunk_avg,duplicate,false,.124
full,cosine_chunk_avg,exceed,all,.218
full,cosine_chunk_avg,exceed,true,.324
full,cosine_chunk_avg,exceed,false,.177
full,node_similarity,duplicate,all,.419
full,node_similarity,duplicate,true,.429
full,node_similarity,duplicate,false,.406
full,node_similarity,exceed,all,.475
full,node_similarity,exceed,true,.430
full,node_similarity,exceed,false,.521
full,node_chunks,duplicate,all,.221
full,node_chunks,duplicate,true,.240
full,node_chunks,duplicate,false,.191
full,node_chunks,exceed,all,.290
full,node_chunks,exceed,true,.251
full,node_chunks,exceed,false,.337
trimmed,topology,duplicate,all,.280
trimmed,topology,duplicate,true,.300
trimmed,topology,duplicate,false,.264
trimmed,topology,exceed,all,.363
trimmed,topology,exceed,true,.491
trimmed,topology,exceed,false,.324
trimmed,cosine,duplicate,all,.216
trimmed,cosine,duplicate,true,.228
trimmed,cosine,duplicate,false,.223
trimmed,cosine,exceed,all,.252
trimmed,cosine,exceed,true,.412
trimmed,cosine,exceed,false,.204
trimmed,chunk,duplicate,all,.098
trimmed,chunk,duplicate,true,.112
trimmed,chunk,duplicate,false,.088
trimmed,chunk,exceed,all,.227
trimmed,chunk,exceed,true,.326
trimmed,chunk,exceed,false,.207
trimmed,cosine_chunk_avg,duplicate,all,.155
trimmed,cosine_chunk_avg,duplicate,true,.167
trimmed,cosine_chunk_avg,duplicate,false,.158
trimmed,cosine_chunk_avg,exceed,all,.230
trimmed,cosine_chunk_avg,exceed,true,.373
trimmed,cosine_chunk_avg,exceed,false,.189
trimmed,node_similarity,duplicate,all,.408
trimmed,node_similarity,duplicate,true,.415
trimmed,node_similarity,duplicate,false,.393
trimmed,node_similarity,exceed,all,.473
trimmed,node_similarity,exceed,true,.436
trimmed,node_similarity,exceed,false,.517
trimmed,node_chunks,duplicate,all,.201
trimmed,node_chunks,duplicate,true,.216
trimmed,node_chunks,duplicate,false,.173
trimmed,node_chunks,exceed,all,.289
trimmed,node_chunks,exceed,true,.266
trimmed,node_chunks,exceed,false,.331
stay4s,topology,duplicate,all,.320
stay4s,topology,duplicate,true,.338
stay4s,topology,duplicate,false,.304
stay4s,topology,exceed,all,.406
stay4s,topology,exceed,true,.522
stay4s,topology,exceed,false,.362
stay4s,cosine,duplicate,all,.256
stay4s,cosine,duplicate,true,.262
stay4s,cosine,duplicate,false,.268
stay4s,cosine,exceed,all,.304
stay4s,cosine,exceed,true,.449
stay4s,cosine,exceed,false,.247
stay4s,chunk,duplicate,all,.116
stay4s,chunk,duplicate,true,.130
stay4s,chunk,duplicate,false,.113
stay4s,chunk,exceed,all,.252
stay4s,chunk,exceed,true,.349
stay4s,chunk,exceed,false,.228
stay4s,cosine_chunk_avg,duplicate,all,.188
stay4s,cosine_chunk_avg,duplicate,true,.196
stay4s,cosine_chunk_avg,duplicate,false,.197
stay4s,cosine_chunk_avg,exceed,all,.272
stay4s,cosine_chunk_avg,exceed,true,.404
stay4s,cosine_chunk_avg,exceed,false,.224
stay4s,node_similarity,duplicate,all,.396
stay4s,node_similarity,duplicate,true,.407
stay4s,node_similarity,duplicate,false,.384
stay4s,node_similarity,exceed,all,.467
stay4s,node_similarity,exceed,true,.435
stay4s,node_similarity,exceed,false,.512
stay4s,node_chunks,duplicate,all,.185
stay4s,node_chunks,duplicate,true,.205
stay4s,node_chunks,duplicate,false,.160
stay4s,node_chunks,exceed,all,.281
stay4s,node_chunks,exceed,true,.264
stay4s,node_chunks,exceed,false,.324
cleaned,topology,duplicate,all,.380
cleaned,topology,exceed,all,.411
cleaned,cosine,duplicate,all,.295
cleaned,cosine,exceed,all,.272
cleaned,chunk,duplicate,all,.190
cleaned,chunk,exceed,all,.281
cleaned,cosine_chunk_avg,duplicate,all,.242
cleaned,cosine_chunk_avg,exceed,all,.267
cleaned,node_similarity,duplicate,all,.440
cleaned,node_similarity,exceed,all,.496
cleaned,node_chunks,duplicate,all,.254
cleaned,node_chunks,exceed,all,.332
post_main,topology,duplicate,all,.230
post_main,topology,exceed,all,.476
post_main,cosine,duplicate,all,.174
post_main,cosine,exceed,all,.341
post_main,chunk,duplicate,all,.090
post_main,chunk,exceed,all,.314
post_main,cosine_chunk_avg,duplicate,all,.120
post_main,cosine_chunk_avg,exceed,all,.340
post_main,node_similarity,duplicate,all,.473
post_main,node_similarity,exceed,all,.501
post_main,node_chunks,duplicate,all,.271
post_main,node_chunks,exceed,all,.331
first,topology,duplicate,all,.266
first,topology,exceed,all,.346
first,cosine,duplicate,all,.196
first,cosine,exceed,all,.206
first,chunk,duplicate,all,.119
first,chunk,exceed,all,.237
first,cosine_chunk_avg,duplicate,all,.148
first,cosine_chunk_avg,exceed,all,.211
first,node_similarity,duplicate,all,.458
first,node_similarity,exceed,all,.545
first,node_chunks,duplicate,all,.263
first,node_chunks,exceed,all,.377
second,topology,duplicate,all,.297
second,topology,exceed,all,.393
second,cosine,duplicate,all,.232
second,cosine,exceed,all,.313
second,chunk,duplicate,all,.123
second,chunk,exceed,all,.242
second,cosine_chunk_avg,duplicate,all,.174
second,cosine_chunk_avg,exceed,all,.270
second,node_similarity,duplicate,all,.426
second,node_similarity,exceed,all,.435
second,node_chunks,duplicate,all,.237
second,node_chunks,exceed,all,.245
