location,mean_probability
Book.__del__,0.04795766495783033
Book.__init__,0.1819083843228047
Book.__str__,0.02761700016537126
Library.__init__,0.03274350917810485
Library.add_book,0.09674218620803704
Library.add_member,0.03208202414420373
Library.borrow_book,0.10649909045807839
Library.remove_book,0.08996196461055067
Library.remove_member,0.021663634860261287
Library.return_book,0.06747147345791302
Member.__init__,0.021663634860261287
Member.__str__,0.017033239622953528
Member._random_id,0.034397221762857616
book.py,0.037208533156937326
library.py,0.02745162890689598
main.py,0.14139242599636184
member.py,0.016206383330577147
