location,mean_probability
Book.__del__,0.03200692041522491
Book.__init__,0.11274509803921569
Book.__str__,0.002306805074971165
Library.__init__,0.03575547866205305
Library.add_book,0.10784313725490198
Library.add_member,0.00980392156862745
Library.borrow_book,0.17589388696655134
Library.remove_book,0.0778546712802768
Library.remove_member,0.022202998846597464
Library.return_book,0.08938869665513263
Member.__init__,0.004613610149942329
Member.__str__,0.0008650519031141869
Member._random_id,0.027681660899653977
book.py,0.04382929642445213
library.py,0.04181084198385236
main.py,0.19434832756632064
member.py,0.021049596309111882
