location,mean_probability
Book.__del__,0.06195596518177164
Book.__init__,0.15514592933947774
Book.__str__,0.0373783922171019
Library.__init__,0.04045058883768562
Library.add_book,0.11111111111111112
Library.add_member,0.035842293906810034
Library.borrow_book,0.11469534050179213
Library.remove_book,0.06656426011264721
Library.remove_member,0.03686635944700461
Library.return_book,0.06861239119303636
Member.__init__,0.03686635944700461
Member.__str__,0.020993343573988736
Member._random_id,0.04198668714797747
book.py,0.045570916538658475
library.py,0.016897081413210446
main.py,0.0931899641577061
member.py,0.015873015873015876
