location,mean_probability
Book.__del__,0.05088902513795218
Book.__init__,0.134886572654813
Book.__str__,0.039852851011649294
Library.__init__,0.0404659717964439
Library.add_book,0.12691600245248313
Library.add_member,0.042918454935622324
Library.borrow_book,0.13733905579399144
Library.remove_book,0.07602697731453097
Library.remove_member,0.04414469650521153
Library.return_book,0.08215818516247701
Member.__init__,0.03862660944206009
Member.__str__,0.02391171060698958
Member._random_id,0.03740036787247088
book.py,0.010423053341508278
library.py,0.002452483139178418
main.py,0.11158798283261803
member.py,0.0
