location,mean_probability
Book.__del__,0.047866205305651666
Book.__init__,0.13321799307958476
Book.__str__,0.0392156862745098
Library.__init__,0.04440599769319493
Library.add_book,0.12399077277970012
Library.add_member,0.040369088811995385
Library.borrow_book,0.12918108419838523
Library.remove_book,0.07497116493656286
Library.remove_member,0.041522491349480974
Library.return_book,0.07727797001153403
Member.__init__,0.03748558246828143
Member.__str__,0.02249134948096886
Member._random_id,0.03921568627450981
book.py,0.0196078431372549
library.py,0.01384083044982699
main.py,0.10495963091118801
member.py,0.010380622837370243
