location,mean_probability
Book.__del__,0.04955947136563876
Book.__init__,0.2083700440528634
Book.__str__,0.031938325991189426
Library.__init__,0.029515418502202642
Library.add_book,0.08325991189427313
Library.add_member,0.02819383259911894
Library.borrow_book,0.09713656387665198
Library.remove_book,0.0986784140969163
Library.remove_member,0.014977973568281937
Library.return_book,0.061013215859030835
Member.__init__,0.016740088105726872
Member.__str__,0.013876651982378854
Member._random_id,0.028634361233480173
book.py,0.035682819383259914
library.py,0.030176211453744495
main.py,0.15286343612334802
member.py,0.019383259911894272
