location,mean_probability
Book.__del__,0.04156610351300617
Book.__init__,0.21426655939930278
Book.__str__,0.027889514615178333
Library.__init__,0.027353177795655676
Library.add_book,0.08581389112362563
Library.add_member,0.033252882810404935
Library.borrow_book,0.11772593188522393
Library.remove_book,0.11853043711450792
Library.remove_member,0.01743094663448646
Library.return_book,0.07267363904532047
Member.__init__,0.013140252078305175
Member.__str__,0.010458567980691873
Member._random_id,0.028962188254223652
book.py,0.018771788683293107
library.py,0.012872083668543845
main.py,0.15285599356395815
member.py,0.006436041834271923
