location,mean_probability
Book.__del__,0.044
Book.__init__,0.20024999999999998
Book.__str__,0.03125
Library.__init__,0.029249999999999998
Library.add_book,0.08425
Library.add_member,0.031999999999999994
Library.borrow_book,0.11025000000000001
Library.remove_book,0.11149999999999999
Library.remove_member,0.016749999999999998
Library.return_book,0.06925
Member.__init__,0.016
Member.__str__,0.0135
Member._random_id,0.029500000000000005
book.py,0.026750000000000003
library.py,0.0245
main.py,0.14525
member.py,0.01575
