location,mean_probability
Book.__del__,0.04850169910410873
Book.__init__,0.1424158171146123
Book.__str__,0.026567809700339815
Library.__init__,0.04324992276799505
Library.add_book,0.10441767068273093
Library.add_member,0.048810627123880124
Library.borrow_book,0.12635156008649984
Library.remove_book,0.09267840593141798
Library.remove_member,0.03367315415508186
Library.return_book,0.0033982082174853255
Member.__init__,0.026258881680568426
Member.__str__,0.010812480691998763
Member._random_id,0.04201421068890948
book.py,0.046339202965708995
library.py,0.030274945937596536
main.py,0.15446400988569664
member.py,0.01977139326536917
