location,mean_probability
Book.__del__,0.05804668304668305
Book.__init__,0.24201474201474202
Book.__str__,0.04054054054054054
Library.__init__,0.02242014742014742
Library.add_book,0.07893120393120394
Library.add_member,0.012285012285012286
Library.borrow_book,0.07862407862407862
Library.remove_book,0.08538083538083538
Library.remove_member,0.00952088452088452
Library.return_book,0.12285012285012284
Member.__init__,0.01934889434889435
Member.__str__,0.021191646191646193
Member._random_id,0.02334152334152334
book.py,0.031019656019656016
library.py,0.022113022113022112
main.py,0.11547911547911546
member.py,0.016891891891891893
