location,mean_probability
Book.__del__,0.044402985074626866
Book.__init__,0.19011194029850745
Book.__str__,0.031529850746268656
Library.__init__,0.03134328358208955
Library.add_book,0.09832089552238805
Library.add_member,0.036194029850746275
Library.borrow_book,0.12369402985074629
Library.remove_book,0.10559701492537313
Library.remove_member,0.025559701492537314
Library.return_book,0.07555970149253732
Member.__init__,0.020895522388059702
Member.__str__,0.01455223880597015
Member._random_id,0.031529850746268656
book.py,0.016231343283582087
library.py,0.009701492537313432
main.py,0.14029850746268654
member.py,0.004477611940298507
