location,mean_probability
Book.__del__,0.04573590096286107
Book.__init__,0.17778541953232463
Book.__str__,0.03352819807427786
Library.__init__,0.035075653370013754
Library.add_book,0.09577028885832188
Library.add_member,0.03404401650618982
Library.borrow_book,0.11433975240715269
Library.remove_book,0.09920907840440166
Library.remove_member,0.02407152682255846
Library.return_book,0.07066712517193947
Member.__init__,0.02269601100412655
Member.__str__,0.016334250343878955
Member._random_id,0.03249656121045392
book.py,0.026994497936726272
library.py,0.024931224209078406
main.py,0.1313617606602476
member.py,0.014958734525447041
