location,mean_probability
Book.__del__,0.007476117956527759
Book.__init__,0.03710369652498962
Book.__str__,0.009137477502422817
Library.__init__,0.051086806036273025
Library.add_book,0.03336563754672574
Library.add_member,0.029212238681988096
Library.borrow_book,0.32078083898657067
Library.remove_book,0.031427384743181505
Library.remove_member,0.005399418524158937
Library.return_book,0.06271632285753842
Member.__init__,0.03433476394849786
Member.__str__,0.008722137615949052
Member._random_id,0.05704001107573031
book.py,0.02519728644607504
library.py,0.04056486224560432
main.py,0.21639208085283124
member.py,0.030042918454935626
