location,mean_probability
Book.__del__,0.0035011670556852285
Book.__init__,0.020340113371123708
Book.__str__,0.0053351117039013
Library.__init__,0.03451150383461154
Library.add_book,0.017839279759919974
Library.add_member,0.030010003334444812
Library.borrow_book,0.3852950983661221
Library.remove_book,0.016005335111703902
Library.remove_member,0.005668556185395132
Library.return_book,0.07519173057685893
Member.__init__,0.024674891630543514
Member.__str__,0.006335445148382794
Member._random_id,0.05418472824274758
book.py,0.02434144714904968
library.py,0.041347115705235075
main.py,0.2247415805268423
member.py,0.030676892297432475
