location,mean_probability
Book.__del__,0.008422490325517869
Book.__init__,0.04803095834281812
Book.__str__,0.011154108809469612
Library.__init__,0.06487593899385387
Library.add_book,0.04051900751195083
Library.add_member,0.021397678124288638
Library.borrow_book,0.2201229228317778
Library.remove_book,0.02754381971318006
Library.remove_member,0.0011381743683132257
Library.return_book,0.050990211700432504
Member.__init__,0.034600500796722056
Member.__str__,0.010471204188481676
Member._random_id,0.0605508763942636
book.py,0.03551104029137264
library.py,0.05121784657409516
main.py,0.27316184839517416
member.py,0.040291372638288185
