location,mean_probability
Book.__del__,0.005084292213005085
Book.__init__,0.045491035590045484
Book.__str__,0.011774150388011773
Library.__init__,0.06502542146106502
Library.add_book,0.03585763981803586
Library.add_member,0.02354830077602355
Library.borrow_book,0.2574257425742574
Library.remove_book,0.0289001873160289
Library.return_book,0.0594059405940594
Member.__init__,0.03344929087503345
Member.__str__,0.006422263848006422
Member._random_id,0.06422263848006422
book.py,0.019266791544019266
library.py,0.027027027027027025
main.py,0.29970564624029966
member.py,0.017393631255017392
Library.remove_member,0.0
