location,mean_probability
Book.__del__,0.0063850687622789785
Book.__init__,0.04543222003929273
Book.__str__,0.012033398821218075
Library.__init__,0.06385068762278978
Library.add_book,0.03683693516699411
Library.add_member,0.02234774066797643
Library.borrow_book,0.23698428290766207
Library.remove_book,0.02652259332023576
Library.remove_member,0.0009823182711198428
Library.return_book,0.05500982318271119
Member.__init__,0.03708251473477407
Member.__str__,0.01031434184675835
Member._random_id,0.06458742632612967
book.py,0.03045186640471513
library.py,0.039783889980353634
main.py,0.28094302554027506
member.py,0.03045186640471513
