location,mean_probability
Book.__del__,0.006007067137809186
Book.__init__,0.02014134275618375
Book.__str__,0.006007067137809186
Library.__init__,0.02862190812720848
Library.add_book,0.02226148409893993
Library.add_member,0.04134275618374558
Library.borrow_book,0.47703180212014135
Library.remove_book,0.03745583038869258
Library.remove_member,0.012014134275618375
Library.return_book,0.08091872791519435
Member.__init__,0.033922261484098944
Member.__str__,0.0088339222614841
Member._random_id,0.04876325088339223
book.py,0.007773851590106007
library.py,0.026855123674911663
main.py,0.1282685512367491
member.py,0.013780918727915195
