location,mean_probability
Book.__del__,0.0028513238289205704
Book.__init__,0.00814663951120163
Book.__str__,0.002443991853360489
Library.__init__,0.023625254582484725
Library.add_book,0.00814663951120163
Library.add_member,0.04439918533604888
Library.borrow_book,0.5466395112016292
Library.remove_book,0.04114052953156823
Library.remove_member,0.012627291242362525
Library.return_book,0.08920570264765784
Member.__init__,0.03584521384928716
Member.__str__,0.004480651731160896
Member._random_id,0.05295315682281059
book.py,0.0016293279022403257
library.py,0.006924643584521384
main.py,0.11120162932790223
member.py,0.007739307535641548
