location,mean_probability
Book.__del__,0.00509204857030944
Book.__init__,0.007833920877399139
Book.__str__,0.003525264394829612
Library.__init__,0.0227183705444575
Library.add_book,0.008617312965139052
Library.add_member,0.045436741088915
Library.borrow_book,0.5287896592244419
Library.remove_book,0.03956130043086565
Library.remove_member,0.012925969447708578
Library.return_book,0.08656482569526049
Member.__init__,0.03525264394829612
Member.__str__,0.0050920485703094395
Member._random_id,0.05444575009792401
book.py,0.004308656482569525
library.py,0.019584802193497848
main.py,0.10693301997649825
member.py,0.013317665491578536
