location,mean_probability
Book.__del__,0.009361233480176211
Book.__init__,0.05451541850220265
Book.__str__,0.015418502202643172
Library.__init__,0.06773127753303965
Library.add_book,0.031938325991189426
Library.add_member,0.031938325991189426
Library.borrow_book,0.2395374449339207
Library.remove_book,0.03386563876651982
Library.return_book,0.017345814977973568
Member.__init__,0.02312775330396476
Member.__str__,0.006883259911894273
Member._random_id,0.038270925110132165
book.py,0.03579295154185022
library.py,0.05479074889867841
main.py,0.306442731277533
member.py,0.03303964757709251
