location,mean_probability
Book.__del__,0.00556947925368978
Book.__init__,0.01949317738791423
Book.__str__,0.00278473962684489
Library.__init__,0.034252297410192145
Library.add_book,0.03480924533556112
Library.add_member,0.026455026455026454
Library.borrow_book,0.40295182400445556
Library.remove_book,0.028961292119186854
Library.remove_member,0.01086048454469507
Library.return_book,0.1086048454469507
Member.__init__,0.045669729880256194
Member.__str__,0.010582010582010581
Member._random_id,0.07602339181286549
book.py,0.014480646059593427
library.py,0.026176552492341965
main.py,0.12531328320802004
member.py,0.02701197438039543
