location,mean_probability
Book.__del__,0.004198966408268734
Book.__init__,0.030684754521963828
Book.__str__,0.008074935400516795
Library.__init__,0.04861111111111111
Library.add_book,0.02487080103359173
Library.add_member,0.03181524547803618
Library.borrow_book,0.37209302325581395
Library.remove_book,0.03375322997416021
Library.remove_member,0.005006459948320413
Library.return_book,0.07122093023255814
Member.__init__,0.03439922480620155
Member.__str__,0.005652454780361757
Member._random_id,0.05975452196382429
book.py,0.012273901808785528
library.py,0.01905684754521964
main.py,0.22496770025839796
member.py,0.013565891472868217
