location,mean_probability
Book.__del__,0.0059382422802850355
Book.__init__,0.030581947743467935
Book.__str__,0.008758907363420427
Library.__init__,0.04854513064133017
Library.add_book,0.026128266033254157
Library.add_member,0.03132422802850356
Library.borrow_book,0.3439726840855107
Library.remove_book,0.03132422802850356
Library.remove_member,0.005789786223277909
Library.return_book,0.06606294536817102
Member.__init__,0.03592636579572447
Member.__str__,0.009204275534441805
Member._random_id,0.06012470308788599
book.py,0.022862232779097387
library.py,0.03592636579572447
main.py,0.21080760095011877
member.py,0.02672209026128266
