location,mean_probability
Book.__del__,0.05751258087706686
Book.__init__,0.26671459381739754
Book.__str__,0.05248023005032351
Library.__init__,0.017253774263120056
Library.add_book,0.04601006470165349
Library.add_member,0.025880661394680086
Library.borrow_book,0.07476635514018691
Library.remove_book,0.06829618979151689
Library.remove_member,0.020129403306973402
Library.return_book,0.04816678648454349
Member.__init__,0.026599568655643422
Member.__str__,0.043134435657800146
Member._random_id,0.03450754852624012
book.py,0.038820992092020126
library.py,0.01653486700215672
main.py,0.13946800862688713
member.py,0.023723939611790076
