location,mean_probability
Book.__del__,0.014204545454545456
Book.__init__,0.032670454545454544
Book.__str__,0.007102272727272728
Library.__init__,0.048295454545454544
Library.add_book,0.0014204545454545455
Library.add_member,0.01846590909090909
Library.borrow_book,0.3508522727272727
Library.remove_book,0.08664772727272727
Library.remove_member,0.025568181818181813
Library.return_book,0.03693181818181818
Member.__init__,0.019886363636363633
Member.__str__,0.007102272727272728
Member._random_id,0.005681818181818183
book.py,0.011363636363636364
library.py,0.01846590909090909
main.py,0.296875
member.py,0.018465909090909092
