,bug_report,Book → Book.__init__,Book → Book.__del__,Book → Book.__str__,Member → Member.__init__,Member → Member.__str__,Member → Member._random_id,Library → Library.__init__,Library → Library.add_book,Library → Library.remove_book,Library → Library.add_member,Library → Library.remove_member,Library → Library.borrow_book,Library → Library.return_book,"main → Book | book1 = Book(""The Hitchhiker's Guide to the Galaxy...","main → Book | book2 = Book(""Pride and Prejudice"", ""Jane Austen"",...","main → Book | book3 = Book(""1984"", ""George Orwell"", ""978-0451524...","main → Book | book4 = Book(""To Kill a Mockingbird"", ""Harper Lee""...","main → Book | book5 = Book(""The Great Gatsby"", ""F. Scott Fitzger...","main → Member | member1 = Member(""Alice"")...","main → Member | member2 = Member(""Bob"")...",main → Library | library = Library(max_borrowed_books=3)...,"main → Library | library.add_book([book1, book2, book3, book4, book...",main → Library | library.add_member(member1)...,main → Library | library.add_member(member2)...,"main → Library | library.borrow_book(member1.member_id, [book1.isbn...","main → Library | library.borrow_book(member2.member_id, [book4.isbn...","main → Library | library.return_book(member1.member_id, [book1.isbn...",main → Library | library.remove_book([book5.isbn])...,Book.__init__ → Book,Book.__del__ → Book,Member.__init__ → Member._random_id,Library.add_book → Book,Library.remove_book → Book,Library.remove_book → Book,Library.remove_book → Book,Library.add_member → Member,Library.remove_member → Member,Library.borrow_book → Book,Library.borrow_book → Book,Library.borrow_book → Book,Library.borrow_book → Member,Library.borrow_book → Member,Library.return_book → Book,Library.return_book → Book,Library.return_book → Member,Library.return_book → Member
bug_report,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.035868446096292424,0.05232128231093565,0.0,0.07670617207914757,0.07075526347652554,0.1240594578455277,0.03001049561259346,0.1825732934415073,0.0,0.0,0.16350227146446494,0.07974943076251773,0.07974220699334517,0.07974220699334517,0.03327612602613912,0.01248118420181497,0.11256885150355583,0.11256885150355583,0.13630398198047236,0.18415395393012687,0.10417147776011382,0.046221337839844855,0.044483869103078715,0.056870752066252105,0.07870114651635421,0.09639123858678264,0.06693198294212596,0.08553165347408573,0.07891162993571806,0.12877195615217182,0.11192377458937006,0.06401919553881122,0.08222224950764817,0.08145687244868953,0.09747861395602316,0.13030329529789472,0.08145687244868953,0.025877826473998205,0.09747861395602316,0.14041848141721724
Book → Book.__init__,0.0,1.0000000000000002,0.2864863001101674,0.2864863001101674,0.5527433781686772,0.2864863001101674,0.15527840511896018,0.4456430473334314,0.448472705200061,0.3969942895215345,0.41162592203250425,0.37969174810504064,0.46719321084519694,0.4548576246718766,0.18128378816892193,0.23231753092906765,0.30777415691156873,0.22424546125923592,0.23755849457099568,0.05728955659837424,0.05728955659837424,0.03818609080465529,0.33845504783989755,0.05978277985619973,0.05978277985619973,0.3425713842897584,0.2094639653380594,0.20554718656437795,0.12115459469705218,0.11660037081605844,0.1879245867960533,0.06630218293964639,0.11927909864237524,0.11267580998679896,0.10584093203238357,0.1328427969641018,0.03017452308619927,0.08837112944064555,0.033801574150289115,0.031911400065411974,0.04300851472674018,0.037240942262421126,0.05110983028603779,0.04300851472674018,0.0,0.037240942262421126,0.055077384941415806
Book → Book.__del__,0.0,0.2864863001101674,1.0,0.5273725070925462,0.4126111178236516,0.5273725070925462,0.28584110923778105,0.3326630099483036,0.48525534703076834,0.4295547967519413,0.4453864802176497,0.4108331429205683,0.3579570553307213,0.34850569773416745,0.0466212793961363,0.05974577554597561,0.07915117565236542,0.05766985789672816,0.06109360941861976,0.10546032072698296,0.10546032072698296,0.0702940923735989,0.04678906533229688,0.11004992029846422,0.11004992029846422,0.04215429730975541,0.06820654679250676,0.06693114863859592,0.0866365386875783,0.08337985498982657,0.1221873112756388,0.1220510315123059,0.0688664493255046,0.06505400398716121,0.061107849282345764,0.4962007350534635,0.055546160092721536,0.16267620500453792,0.06222294363275883,0.05874345492562103,0.07917135384500258,0.06855423480937604,0.09408449662220238,0.07917135384500258,0.0,0.06855423480937604,0.10138808930649056
Book → Book.__str__,0.0,0.2864863001101674,0.5273725070925462,1.0,0.4126111178236516,1.0,0.28584110923778105,0.3326630099483036,0.48525534703076834,0.4295547967519413,0.4453864802176497,0.4108331429205683,0.3579570553307213,0.34850569773416745,0.0466212793961363,0.05974577554597561,0.07915117565236542,0.05766985789672816,0.06109360941861976,0.10546032072698296,0.10546032072698296,0.0702940923735989,0.04678906533229688,0.11004992029846422,0.11004992029846422,0.04215429730975541,0.06820654679250676,0.06693114863859592,0.0866365386875783,0.08337985498982657,0.1221873112756388,0.1220510315123059,0.0688664493255046,0.06505400398716121,0.061107849282345764,0.0766975257988455,0.055546160092721536,0.16267620500453792,0.06222294363275883,0.05874345492562103,0.07917135384500258,0.06855423480937604,0.09408449662220238,0.07917135384500258,0.0,0.06855423480937604,0.10138808930649056
Member → Member.__init__,0.0,0.5527433781686772,0.4126111178236516,0.4126111178236516,1.0,0.4126111178236516,0.22363930242168722,0.5201512947935287,0.4684099074269269,0.4146429788204093,0.42992507191214124,0.3965712394945232,0.4109993301318345,0.4001474651296736,0.1113485185357035,0.1426945738508063,0.18904170506270004,0.13773652984515466,0.1459136898187736,0.0825111287296688,0.0825111287296688,0.05499741385945981,0.18689119494611142,0.08610198677418858,0.08610198677418858,0.1345290625883607,0.10813305084710484,0.10611106469016464,0.06778358483139624,0.06523558719622259,0.09559816336891551,0.09549153940818701,0.05388043983065632,0.05089761969585664,0.047810186653820495,0.06000739786121717,0.04345877515121847,0.12727627983544648,0.048682625622888775,0.045960307516429426,0.06194289685234916,0.05363616623131609,0.07361079464529252,0.06194289685234916,0.0,0.05363616623131609,0.07932505449210694
Member → Member.__str__,0.0,0.2864863001101674,0.5273725070925462,1.0,0.4126111178236516,1.0,0.28584110923778105,0.3326630099483036,0.48525534703076834,0.4295547967519413,0.4453864802176497,0.4108331429205683,0.3579570553307213,0.34850569773416745,0.0466212793961363,0.05974577554597561,0.07915117565236542,0.05766985789672816,0.06109360941861976,0.10546032072698296,0.10546032072698296,0.0702940923735989,0.04678906533229688,0.11004992029846422,0.11004992029846422,0.04215429730975541,0.06820654679250676,0.06693114863859592,0.0866365386875783,0.08337985498982657,0.1221873112756388,0.1220510315123059,0.0688664493255046,0.06505400398716121,0.061107849282345764,0.0766975257988455,0.055546160092721536,0.16267620500453792,0.06222294363275883,0.05874345492562103,0.07917135384500258,0.06855423480937604,0.09408449662220238,0.07917135384500258,0.0,0.06855423480937604,0.10138808930649056
Member → Member._random_id,0.0,0.15527840511896018,0.28584110923778105,0.28584110923778105,0.22363930242168722,0.28584110923778105,0.9999999999999997,0.23358420630731971,0.2630131923704895,0.23282294380286606,0.2414038726569093,0.31186736745285804,0.27172862372681794,0.2645540077950582,0.06300248675429501,0.08073850570416481,0.10696233480109729,0.07793317783899775,0.08255992473873747,0.14251566121233655,0.14251566121233655,0.1444201981143623,0.030329663885346865,0.07133669094598644,0.07133669094598644,0.06750503086936545,0.10922457117214135,0.10718217461366386,0.056159640717813576,0.05404858931654701,0.04606589586335079,0.5067449687723551,0.06731316495846768,0.0,0.0,0.0,0.1278912567694828,0.14479401679293943,0.0,0.0,0.07738564211673657,0.15784146432455498,0.060987564917304345,0.07738564211673657,0.068212212689238,0.15784146432455498,0.06572190850157411
Library → Library.__init__,0.035868446096292424,0.4456430473334314,0.3326630099483036,0.3326630099483036,0.5201512947935287,0.3326630099483036,0.23358420630731971,1.0,0.4625377667764188,0.33430117471357507,0.34662218805180145,0.3197310409012336,0.331363524496274,0.322614332050339,0.12167369904332462,0.15592642688165942,0.20657125780313448,0.15050863091885294,0.1594440466275065,0.1386840103061572,0.1386840103061572,0.6311089832233437,0.15067889535196818,0.06941874526772322,0.06941874526772322,0.10846252307068223,0.08718103952076514,0.08555083623252265,0.05464974253247301,0.052595448486474246,0.07707492939011192,0.07698896503729553,0.18246873618257153,0.11049014201182383,0.20970692257499635,0.13026593288773458,0.08787173670585927,0.26544902268739173,0.10568176371947922,0.2015929098888114,0.20977263993499706,0.10844997496110437,0.2489215569135211,0.20977263993499706,0.18733972716543212,0.10844997496110437,0.26824484318602476
Library → Library.add_book,0.05232128231093565,0.448472705200061,0.48525534703076834,0.48525534703076834,0.4684099074269269,0.48525534703076834,0.2630131923704895,0.4625377667764188,0.9999999999999999,0.5626251580091606,0.7264437695313775,0.4663914909960914,0.5458423849639915,0.531430176865777,0.20241008028700036,0.2593911488853787,0.34364127338670764,0.2503783833951163,0.26524287938074664,0.09703802121669519,0.09703802121669519,0.14343278358505251,0.5367900656647127,0.34081823614627393,0.34081823614627393,0.28743604718806226,0.23171276024026885,0.22737994996698163,0.21250747050321012,0.3221217486832826,0.1668907468918474,0.11230376035050674,0.31734705836999005,0.16117190851414,0.15139527301000283,0.190018843632623,0.05111011823619798,0.2402224823081108,0.1541579297815196,0.14553746368855672,0.28049069976136515,0.06307933871307173,0.2640791145646247,0.28049069976136515,0.0743447660361213,0.06307933871307173,0.28457905194487465
Library → Library.remove_book,0.0,0.3969942895215345,0.4295547967519413,0.4295547967519413,0.4146429788204093,0.4295547967519413,0.23282294380286606,0.33430117471357507,0.5626251580091606,1.0,0.4475797401143067,0.637034749571237,0.7061523843053714,0.6875074139036486,0.17917622429148342,0.22961666042527187,0.3041960449244589,0.22163843479204232,0.23479669382205076,0.08589940891121205,0.08589940891121205,0.05725585645120604,0.3850144387780974,0.08963772383014744,0.08963772383014744,0.2544423952967194,0.20511536501117408,0.2012799009659142,0.3956706573542332,0.12447888414236344,0.14773401529640776,0.09941285396857642,0.18598026131656425,0.05298770619398481,0.04977348918535858,0.06247157305854463,0.045243389043017904,0.13250281961482452,0.050681754444940774,0.047847645642729426,0.13914808413361168,0.05583870983789968,0.14045998468163168,0.13914808413361168,0.06581102312344395,0.05583870983789968,0.3942601445563134
