node,chunk_count,normalized_chunk_count
Book,3,0.0066518847006651885
Book.__init__,50,0.11086474501108648
Book.__del__,16,0.03547671840354767
Book.__str__,2,0.004434589800443459
Library,7,0.015521064301552107
Library.__init__,17,0.037694013303769404
Library.add_book,17,0.037694013303769404
Library.add_member,23,0.050997782705099776
Library.borrow_book,87,0.19290465631929046
Library.remove_book,55,0.12195121951219512
Library.remove_member,31,0.06873614190687362
Library.return_book,63,0.13968957871396895
Member,3,0.0066518847006651885
Member.__init__,20,0.04434589800443459
Member.__str__,2,0.004434589800443459
Member._random_id,30,0.06651884700665188
main,25,0.05543237250554324
