Node,Duplicate_Similarity,Exceed_Similarity
Book,0.15820025154670514,0.09999552903657175
Book.__del__,0.040555287022594866,0.022275646603437834
Book.__init__,0.06452734990558547,0.009219815981194736
Book.__str__,0.0,0.0
Library,0.13376959970271168,0.08725663548343954
Library.__init__,0.010125577519391221,0.027436723778046946
Library.add_book,0.10752575488861407,0.05472587192202942
Library.add_member,0.03579373512417577,0.09757207127875
Library.borrow_book,0.06848355193400553,0.13033275313361165
Library.remove_book,0.08525326988680222,0.04623506839854899
Library.remove_member,0.015338680143086007,0.08972915715510409
Library.return_book,0.07118150357910141,0.07587639013697557
Member,0.02407347563415513,0.11402290720848954
Member.__init__,0.015593589712700168,0.019072147016426712
Member.__str__,0.0,0.0
Member._random_id,0.0026565334685889146,0.014149037134935706
main,0.16692183993178245,0.11210024573243742
