,Book,Book.__del__,Book.__init__,Book.__str__,Library,Library.__init__,Library.add_book,Library.add_member,Library.borrow_book,Library.remove_book,Library.remove_member,Library.return_book,Member,Member.__init__,Member.__str__,Member._random_id,main
Book,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Book.__del__,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Book.__init__,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Book.__str__,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Library,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
Library.__init__,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Library.add_book,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Library.add_member,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Library.borrow_book,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Library.remove_book,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Library.remove_member,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Library.return_book,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Member,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Member.__init__,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Member.__str__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Member._random_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
main,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
