,Book,Book.__del__,Book.__init__,Book.__str__,Library,Library.__init__,Library.add_book,Library.add_member,Library.borrow_book,Library.remove_book,Library.remove_member,Library.return_book,Member,Member.__init__,Member.__str__,Member._random_id,main
Book,0.06181964478132714,1e-10,0.07220139790100227,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024517298989855326
Book.__del__,0.12220666371682842,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book.__init__,0.13868882218193182,0.0,0.07220139790100227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book.__str__,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Library,0.0,0.0,0.0,0.0,0.06514073970405503,0.016387381338005342,0.13370613318777705,0.0768548655641768,0.07140054659929318,0.06650372299588825,0.020250640476653065,0.07049039463800072,0.0,0.0,0.0,0.0,0.024517298989855326
Library.__init__,0.0,0.0,0.0,0.0,0.0,0.016387381338005342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Library.add_book,0.14582355259146307,0.0,0.0,0.0,0.0,0.0,0.13370613318777705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Library.add_member,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768548655641768,0.0,0.0,0.0,0.0,0.02820591679051439,0.0,0.0,0.0,0.0
Library.borrow_book,0.062472372652029304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07140054659929318,0.0,0.0,0.0,0.07180918521961682,0.0,0.0,0.0,0.0
Library.remove_book,0.061251051581994745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06650372299588825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Library.remove_member,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020250640476653065,0.0,0.029788626517693564,0.0,0.0,0.0,0.0
Library.return_book,0.13114484276624333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049039463800072,0.07864126942731334,0.0,0.0,0.0,0.0
Member,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.021446456394193198,1e-10,1e-10,0.024517298989855326
Member.__init__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021446456394193198,0.0,0.023629101298708762,0.0
Member.__str__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0
Member._random_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0
main,0.16302053052060833,0.0,0.0,0.0,0.15478648977973267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.024517298989855326
