,Book,Book.__del__,Book.__init__,Book.__str__,Library,Library.__init__,Library.add_book,Library.add_member,Library.borrow_book,Library.remove_book,Library.remove_member,Library.return_book,Member,Member.__init__,Member.__str__,Member._random_id,main
Book,1e-10,1e-10,1e-10,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03848077397769999
Book.__del__,0.061177800794469675,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book.__init__,0.04848225688793068,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book.__str__,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Library,0.0,0.0,0.0,0.0,1e-10,0.04070853943711545,0.0600136743838719,0.08078498694337125,0.12944187070078847,1e-10,0.07456207292841088,0.03214946299584204,0.0,0.0,0.0,0.0,0.03848077397769999
Library.__init__,0.0,0.0,0.0,0.0,0.0,0.04070853943711545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Library.add_book,0.10038901945494302,0.0,0.0,0.0,0.0,0.0,0.0600136743838719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Library.add_member,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08078498694337125,0.0,0.0,0.0,0.0,0.12872542545419838,0.0,0.0,0.0,0.0
Library.borrow_book,0.08416675532265322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12944187070078847,0.0,0.0,0.0,0.13490314919449112,0.0,0.0,0.0,0.0
Library.remove_book,0.08397832095360848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Library.remove_member,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07456207292841088,0.0,0.11620126191679328,0.0,0.0,0.0,0.0
Library.return_book,0.027966285678556187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03214946299584204,0.1478145511663025,0.0,0.0,0.0,0.0
Member,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055856169934423015,1e-10,1e-10,1e-10,0.03848077397769999
Member.__init__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.083867791695586,0.0
Member.__str__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0
Member._random_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0
main,0.08791754544893865,0.0,0.0,0.0,0.09430302326336185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777369958249822,0.0,0.0,0.0,0.03848077397769999
